entry_time,exit_time,signal,entry_price,exit_price,pnl_pips,confidence
2025-11-17 17:15:00,2025-11-18 04:00:00,SELL,0.65164,0.64764,40,0.4212574299385395
2025-11-17 20:00:00,2025-11-18 04:00:00,BUY,0.64832,0.64732,-10,0.4759519190555775
2025-11-18 02:30:00,2025-11-18 11:30:00,SELL,0.64927,0.65027,-10,0.4755727034217962
2025-11-18 04:15:00,2025-11-18 13:30:00,BUY,0.64701,0.65101,40,0.669951964995195
2025-11-18 07:00:00,2025-11-18 19:30:00,BUY,0.64773,0.65173,40,0.47557622961134993
2025-11-18 15:45:00,2025-11-19 04:00:00,BUY,0.64865,0.64765,-10,0.6340798044752434
2025-11-18 19:30:00,2025-11-19 15:30:00,SELL,0.65149,0.64749,40,0.6974255258556832
2025-11-18 23:00:00,2025-11-19 15:45:00,SELL,0.65085,0.64685,40,0.41883577526966315
2025-11-19 04:00:00,2025-11-19 15:30:00,BUY,0.64817,0.64717,-10,0.49786272502256723
2025-11-19 09:00:00,2025-11-19 15:30:00,BUY,0.64838,0.64738,-10,0.49576855671851683
2025-11-19 12:45:00,2025-11-20 13:30:00,SELL,0.64889,0.64989,-10,0.4085447519059272
2025-11-19 14:45:00,2025-11-19 17:30:00,SELL,0.6491,0.6451,40,0.471905698331072
2025-11-19 17:30:00,2025-11-20 13:30:00,BUY,0.64575,0.64975,40,0.5210819837155929
2025-11-19 19:30:00,2025-11-20 13:30:00,BUY,0.64581,0.64981,40,0.509182470337267
2025-11-19 23:45:00,2025-11-20 13:30:00,SELL,0.64897,0.64997,-10,0.42249274029031797
2025-11-20 05:00:00,2025-11-20 13:30:00,SELL,0.64853,0.64953,-10,0.4884687541401527
2025-11-20 10:30:00,2025-11-20 13:30:00,SELL,0.64839,0.64939,-10,0.48660674351291733
2025-11-20 11:45:00,2025-11-20 16:15:00,BUY,0.64754,0.64654,-10,0.4435078867987861
2025-11-20 14:30:00,2025-11-20 16:30:00,SELL,0.64977,0.64577,40,0.6329230275693959
2025-11-20 23:00:00,2025-11-21 10:00:00,BUY,0.64387,0.64287,-10,0.44143786445869027
2025-11-21 02:00:00,2025-11-23 23:00:00,SELL,0.64535,0.64635,-10,0.4339273261833664
2025-11-21 06:15:00,2025-11-21 17:30:00,SELL,0.64502,0.64602,-10,0.45885609487803686
2025-11-21 08:45:00,2025-11-23 23:00:00,SELL,0.64507,0.64607,-10,0.4990021035055027
2025-11-21 12:15:00,2025-11-23 23:00:00,BUY,0.64226,0.6462600000000001,40,0.6196912723573235
2025-11-24 01:15:00,2025-11-24 09:15:00,BUY,0.64533,0.64433,-10,0.48984227212480896
2025-11-24 14:45:00,2025-11-25 14:30:00,BUY,0.64528,0.64428,-10,0.4934138516208714
2025-11-24 17:00:00,2025-11-25 14:30:00,BUY,0.64526,0.6442599999999999,-10,0.5231517843518325
2025-11-24 22:15:00,2025-11-25 03:30:00,BUY,0.6462,0.6452,-10,0.4635460731565471
2025-11-25 05:45:00,2025-11-25 13:15:00,SELL,0.64574,0.64674,-10,0.4639140472762721
