entry_time,exit_time,signal,entry_price,exit_price,pnl_pips,confidence
2025-11-05 14:00:00,2025-11-05 15:00:00,BUY,1.30236,1.30136,-10,0.6534624474805311
2025-11-07 09:30:00,2025-11-07 12:00:00,BUY,1.30952,1.31252,30,0.7113537575770816
2025-11-07 12:45:00,2025-11-07 14:45:00,BUY,1.31147,1.3144699999999998,30,0.663433567762674
2025-11-10 06:45:00,2025-11-10 08:15:00,BUY,1.3141,1.3171,30,0.6903925447920236
2025-11-10 11:00:00,2025-11-10 12:15:00,BUY,1.31534,1.3183399999999998,30,0.7279676577331986
2025-11-10 13:15:00,2025-11-10 14:45:00,SELL,1.31833,1.31533,30,0.702743577645968
2025-11-10 15:45:00,2025-11-10 17:45:00,BUY,1.31478,1.31778,30,0.7242389016986251
2025-11-11 09:00:00,2025-11-11 11:45:00,BUY,1.31189,1.31489,30,0.7033954907080916
2025-11-11 14:45:00,2025-11-11 21:45:00,SELL,1.318,1.3150000000000002,30,0.6565972442983086
2025-11-12 14:15:00,2025-11-12 15:45:00,BUY,1.30885,1.31185,30,0.7873834786484771
2025-11-13 11:45:00,2025-11-13 12:30:00,BUY,1.31475,1.31775,30,0.6582617288150184
2025-11-13 17:45:00,2025-11-13 22:45:00,SELL,1.32112,1.3181200000000002,30,0.7768426646396608
2025-11-17 12:45:00,2025-11-17 19:30:00,SELL,1.31796,1.3149600000000001,30,0.6561164126031447
2025-11-18 16:00:00,2025-11-19 02:00:00,BUY,1.31399,1.31299,-10,0.6658321957978528
2025-11-19 19:45:00,2025-11-20 08:00:00,BUY,1.30458,1.30758,30,0.6774983500346449
2025-11-20 02:00:00,2025-11-20 08:00:00,BUY,1.30429,1.3072899999999998,30,0.7258951084648754
2025-11-20 21:15:00,2025-11-21 08:45:00,BUY,1.30687,1.3098699999999999,30,0.6647907553691803
2025-11-21 12:15:00,2025-11-21 12:30:00,BUY,1.30445,1.30745,30,0.7565877745726506
2025-11-21 14:15:00,2025-11-21 17:00:00,BUY,1.30736,1.31036,30,0.7197213192576051
2025-11-21 16:00:00,2025-11-21 19:30:00,BUY,1.30776,1.31076,30,0.7058877742887225
2025-11-24 15:30:00,2025-11-25 07:00:00,BUY,1.30865,1.31165,30,0.6835264257740312
2025-11-24 17:15:00,2025-11-25 07:30:00,BUY,1.30882,1.31182,30,0.6699306422556839
2025-11-25 12:00:00,2025-11-25 13:00:00,BUY,1.31114,1.3141399999999999,30,0.6891495923742188
2025-11-25 16:45:00,2025-11-25 17:45:00,BUY,1.31718,1.32018,30,0.6510928739301569
2025-11-25 23:45:00,2025-11-26 02:00:00,BUY,1.31577,1.31877,30,0.6689182637622615
2025-11-26 12:15:00,2025-11-26 12:30:00,BUY,1.31535,1.3143500000000001,-10,0.6597201526397442
2025-11-27 05:30:00,2025-11-27 07:45:00,SELL,1.32602,1.32302,30,0.6993705595526746
2025-11-27 09:00:00,2025-11-27 13:15:00,BUY,1.32106,1.3240599999999998,30,0.7350873273454916
2025-11-28 12:00:00,2025-11-28 15:45:00,BUY,1.32058,1.32358,30,0.6822685429695329
2025-11-28 17:15:00,2025-11-30 22:00:00,BUY,1.32279,1.32179,-10,0.6774801530118918
2025-12-01 08:30:00,2025-12-01 12:00:00,BUY,1.32086,1.3238599999999998,30,0.7192680995797468
2025-12-01 13:00:00,2025-12-01 15:30:00,SELL,1.32651,1.3235100000000002,30,0.6834867747950506
2025-12-02 17:00:00,2025-12-02 19:45:00,BUY,1.31825,1.3212499999999998,30,0.7724504589258793
2025-12-03 08:15:00,2025-12-03 09:30:00,BUY,1.3238,1.3268,30,0.7045983395524823
2025-12-03 14:15:00,2025-12-03 15:15:00,BUY,1.32943,1.3324299999999998,30,0.7142565823187499
2025-12-04 10:45:00,2025-12-04 13:15:00,BUY,1.33435,1.33335,-10,0.6773049838778828
2025-12-05 16:30:00,2025-12-08 15:15:00,BUY,1.33217,1.3311700000000002,-10,0.70953828012942
2025-12-08 15:30:00,2025-12-09 08:30:00,BUY,1.33092,1.33392,30,0.7099269815857727
2025-12-09 09:15:00,2025-12-09 12:00:00,SELL,1.33524,1.33224,30,0.7959007440766223
2025-12-10 15:45:00,2025-12-10 19:00:00,BUY,1.33201,1.3350099999999998,30,0.6909986573402649
2025-12-11 09:30:00,2025-12-11 12:00:00,BUY,1.33582,1.33882,30,0.6630610272121544
2025-12-11 16:00:00,2025-12-11 19:45:00,SELL,1.34283,1.33983,30,0.7260420711555275
2025-12-12 16:30:00,2025-12-12 18:00:00,BUY,1.33458,1.33758,30,0.7855719516851338
2025-12-16 17:30:00,2025-12-16 19:15:00,SELL,1.34336,1.3403600000000002,30,0.7087037940765016
2025-12-17 08:00:00,2025-12-17 13:15:00,BUY,1.33187,1.33487,30,0.7185041427950013
