pair,total_trades,win_rate,profit_factor,total_pnl,sharpe,max_drawdown,avg_win,avg_loss,avg_confidence
GBPJPYm,34,0.9411764705882353,64.0,1260,50.00469977869572,10,40.0,-10.0,0.6732191313529466
USDCADm,94,1.0,3760.0,3760,6349803146555.018,0,40.0,0.0,0.6821232635190463
GBPUSDm,9,1.0,360.0,360,6349803146555.018,0,40.0,0.0,0.6892740848187819
USDJPYm,91,1.0,3640.0,3640,6349803146555.018,0,40.0,0.0,0.6780089831420159
EURUSDm,76,1.0,3040.0,3040,6349803146555.018,0,40.0,0.0,0.6861717248163481
AUDUSDm,65,0.9230769230769231,48.0,2350,43.07621153226159,20,40.0,-10.0,0.7241033417777389
NZDUSDm,53,1.0,2120.0,2120,6349803146555.018,0,40.0,0.0,0.7126285594767657
EURJPYm,214,0.4158878504672897,2.848,2310,6.95332031265597,490,40.0,-10.0,0.6885959134270949
EURGBPm,176,0.9431818181818182,66.4,6540,50.96288089257499,50,40.0,-10.0,0.8408223186379667
USDCHFm,69,1.0,2760.0,2760,6349803146555.018,0,40.0,0.0,0.7506463892914332
AUDJPYm,367,0.9455040871934605,69.4,13680,52.13587037519553,50,40.0,-10.0,0.7957606460779476
BTCUSDm,1,1.0,40.0,40,6349803146555.018,0,40.0,0.0,0.6512363420591862
