feature,importance
sma_200,0.09119456323728055
sweep_magnitude,0.0576606418785154
sma_50,0.05492470418174034
volatility_50,0.052607711153818126
dow_cos,0.047381446824075
bb_upper,0.041150088789122456
dist_to_swing_high,0.03870813432127782
return_50,0.03836259870242649
dist_to_swing_low,0.037335986526539425
bb_lower,0.0368773559223824
hour_sin,0.03601513836480017
dow_sin,0.032597415274573244
dist_to_internal_low,0.030543763269136215
price_position_100,0.028242050553207703
price_position_50,0.025975763190317903
macd_signal,0.023052141569397402
volatility_20,0.021781965512669484
bb_width,0.019360300144233972
atr,0.01905980980157602
dist_to_internal_high,0.018409621631579342
dist_vs_prev_high,0.01630508555327036
macd,0.01605098965474859
hour_cos,0.015854564428312113
volatility_10,0.015159124695684907
bullish_sweeps_recent,0.014473496390321788
macd_hist,0.014019084371554141
rsi_14,0.013811422472541681
liquidity_sweep,0.01250423134401419
atr_ratio,0.01200555335615815
bearish_sweeps_recent,0.011663927456353106
return_20,0.01028582487823271
bb_position,0.008928962848335158
price_position_20,0.008709974037337873
return_10,0.007638329153955948
bullish_confluence,0.007307277560389927
sma_cross,0.0066932921912957796
bearish_confluence,0.005787714115745146
stoch_d,0.005642044199461826
above_sma200,0.005477740051502827
return_5,0.005441714073327681
return_3,0.004749540078851553
stoch_k,0.004652630171326525
institutional_candles_recent,0.0036729800627090642
body_ratio,0.00311378905260466
upper_wick_ratio,0.0030806800273432385
return_1,0.002024788695957411
retracement_direction,0.0016227897853311976
lower_wick_ratio,0.001553159076852228
is_bullish,0.001443715911952711
in_premium,0.0014253137865145346
fvg_direction,0.001360412314619058
has_fvg,0.0011456410477417719
internal_ob,0.0010146154891617911
mm_phase,0.0009197481714089692
mm_accumulation,0.0007383347968163442
choch_count,0.000542408205707159
rsi_oversold,0.0005336072240872196
rsi_overbought,0.0004763838877045398
ob_volume_weight,0.00018831306966990508
above_previous_high,0.00016544594016879464
internal_choch,0.00015925728763601166
below_previous_low,0.00015918220410358463
bos_momentum,0.00010879634053205688
internal_trend,8.98898643393413e-05
in_equilibrium,5.7023825646981407e-05
asian_kill_zone_active,0.0
new_york_active,0.0
london_active,0.0
tokyo_active,0.0
swing_choch,0.0
swing_bos,0.0
structure_aligned,0.0
swing_trend,0.0
sydney_active,0.0
in_discount,0.0
internal_bos,0.0
swing_ob,0.0
deepest_retracement_pct,0.0
current_retracement_pct,0.0
ob_strength,0.0
high_strength_ob,0.0
has_mitigation,0.0
breaker_block,0.0
has_breaker,0.0
mitigation_block,0.0
institutional_candle,0.0
mm_manipulation,0.0
mm_distribution,0.0
london_close_kill_zone_active,0.0
inducement_zone,0.0
in_inducement,0.0
dist_to_inducement,0.0
amd_pattern,0.0
london_open_kill_zone_active,0.0
new_york_kill_zone_active,0.0
has_eqh,0.0
has_eql,0.0
institutional_activity,0.0
discount_acceptance,0.0
bearish_mitigation_trend,0.0
premium_rejection,0.0
bearish_trend_premium,0.0
bullish_trend_discount,0.0
choch_with_ob,0.0
bos_with_ob,0.0
bullish_mitigation_trend,0.0
sweep_reversal_setup,0.0
bullish_fvg_trend,0.0
bearish_fvg_trend,0.0
