feature,importance
sma_50,0.09117250732257327
bb_upper,0.08181716378064609
sma_200,0.07634664708084561
bb_lower,0.07404523497548968
dist_to_swing_high,0.05818493260428005
dow_sin,0.05116768085717449
sweep_magnitude,0.04762431881997089
dist_to_swing_low,0.03615843208388756
volatility_50,0.03361915989070237
dow_cos,0.03332639160697693
price_position_100,0.02455377374387261
bearish_sweeps_recent,0.024121183351445932
return_50,0.022713018089840067
macd_signal,0.021281018359482942
bullish_sweeps_recent,0.0198497310181092
volatility_20,0.01966341144674501
dist_vs_prev_high,0.01889855375291695
atr,0.0182338852381086
bb_width,0.018003765257088595
price_position_50,0.017188983206471158
hour_sin,0.015501175642166742
macd,0.014294803320031836
dist_to_internal_low,0.01314555709703837
atr_ratio,0.01198624998606661
volatility_10,0.010518430754120251
dist_to_internal_high,0.010256350130376441
sma_cross,0.010097051798572553
hour_cos,0.009897564391318399
return_20,0.00857737307806973
above_sma200,0.007941184071301805
rsi_14,0.00794014508101477
macd_hist,0.007621298024340357
bullish_confluence,0.007157852923992114
liquidity_sweep,0.006892485967348933
upper_wick_ratio,0.006119910597386957
stoch_d,0.006015929054149335
return_10,0.005696101557649965
bearish_confluence,0.005616928657858325
has_fvg,0.005174369391066629
bb_position,0.004872849590928438
price_position_20,0.004470968714900571
return_5,0.003324878340621576
stoch_k,0.0032468774683716223
choch_count,0.0024008801359010857
is_bullish,0.002370951279897713
lower_wick_ratio,0.00231684473329787
return_3,0.0022394902803524403
fvg_direction,0.002116716595240418
institutional_candles_recent,0.0017492425724386792
in_premium,0.0016878504305652682
body_ratio,0.001347500440685699
return_1,0.0013321601469325106
in_discount,0.0012291563877138444
mm_phase,0.0010974707395419372
bos_momentum,0.0008508808951639195
internal_trend,0.0007629641207020514
mm_accumulation,0.0006859914861619574
internal_choch,0.0006357139068847515
in_equilibrium,0.0006226876173921464
rsi_oversold,0.00048316173693536176
below_previous_low,0.00034385969105829264
rsi_overbought,0.00032083365730377084
institutional_activity,0.0002761204113231963
premium_rejection,0.00027447187277053296
has_mitigation,0.0002681219872968185
institutional_candle,9.099299194480316e-05
internal_bos,7.546840812215233e-05
mitigation_block,5.626795746023725e-05
above_previous_high,2.682902752040079e-05
discount_acceptance,1.2423640719376487e-06
swing_choch,0.0
structure_aligned,0.0
swing_trend,0.0
sydney_active,0.0
swing_bos,0.0
internal_ob,0.0
swing_ob,0.0
asian_kill_zone_active,0.0
new_york_active,0.0
london_active,0.0
tokyo_active,0.0
deepest_retracement_pct,0.0
current_retracement_pct,0.0
retracement_direction,0.0
has_breaker,0.0
mm_manipulation,0.0
mm_distribution,0.0
new_york_kill_zone_active,0.0
london_close_kill_zone_active,0.0
inducement_zone,0.0
in_inducement,0.0
dist_to_inducement,0.0
amd_pattern,0.0
london_open_kill_zone_active,0.0
has_eql,0.0
has_eqh,0.0
high_strength_ob,0.0
ob_volume_weight,0.0
ob_strength,0.0
breaker_block,0.0
bullish_mitigation_trend,0.0
bullish_trend_discount,0.0
sweep_reversal_setup,0.0
bearish_mitigation_trend,0.0
bearish_trend_premium,0.0
bos_with_ob,0.0
choch_with_ob,0.0
bullish_fvg_trend,0.0
bearish_fvg_trend,0.0
