feature,importance
fvg_direction,0.16154454922210704
dow_cos,0.07518653673956328
hour_cos,0.06475935038989662
dow_sin,0.05633372721941424
hour_sin,0.04654695287544558
is_bullish,0.03611737239410828
has_fvg,0.03569649443398736
return_1,0.03283438573834467
sweep_magnitude,0.024047694798665527
atr_ratio,0.022868963654641288
choch_count,0.01590134503815926
sma_200,0.015070614520314026
sma_50,0.014023414589202157
bb_upper,0.013806645996525722
internal_trend,0.01376899242450441
return_3,0.01365377896099988
bos_momentum,0.013378728644226895
lower_wick_ratio,0.01281117687649091
institutional_candles_recent,0.012731222083726337
bb_lower,0.011552077812014377
return_5,0.011115710028662233
rsi_14,0.010853483675367632
body_ratio,0.010837734317092874
stoch_k,0.010670161651444481
bb_position,0.010584782065764221
price_position_100,0.010569185092518096
dist_vs_prev_high,0.010444685921236761
volatility_50,0.010211817269124047
macd_hist,0.010083958325584478
macd,0.009975533840862494
price_position_20,0.009966143287660198
return_10,0.009869314632270297
upper_wick_ratio,0.009796640655433045
bb_width,0.009546335650899171
return_20,0.009506925871985613
volatility_20,0.009320744022467837
internal_choch,0.008529273951075143
return_50,0.008363120786874024
price_position_50,0.007870130798038671
dist_to_swing_high,0.007820416904347953
volatility_10,0.007803935168133836
dist_to_internal_high,0.007744497373597245
macd_signal,0.007389531358470266
atr,0.007205965536703518
dist_to_swing_low,0.007180896311248686
stoch_d,0.007151400147915833
bearish_sweeps_recent,0.006680203381002659
dist_to_internal_low,0.006443651959795381
above_sma200,0.004818370034790449
in_equilibrium,0.0048154174945004005
mm_accumulation,0.0045482408737080385
rsi_oversold,0.004387393337063873
sma_cross,0.004293299548314687
rsi_overbought,0.00413034505502176
bullish_sweeps_recent,0.003954000781677785
internal_ob,0.0037283750098072526
internal_bos,0.003445515743799611
mm_phase,0.0033658036989613594
bullish_confluence,0.0025602045466920458
liquidity_sweep,0.0022707473628963636
bearish_confluence,0.0017063705163710362
in_discount,0.0009791103583659854
below_previous_low,0.0008444301687101767
in_premium,0.0008097583311044536
institutional_activity,0.0006375649491623963
institutional_candle,0.0004661089557251898
above_previous_high,0.00044459670009353643
premium_rejection,0.00031310188609415685
swing_trend,0.00028011707619187413
bullish_fvg_trend,0.00019102295378691222
has_eql,0.00018363095662388243
has_eqh,0.00014953157425205563
discount_acceptance,0.00012084174768092796
ob_volume_weight,0.0001013212180789152
ob_strength,7.360667537984902e-05
mitigation_block,6.286832367745683e-05
sweep_reversal_setup,5.93614156048628e-05
mm_manipulation,4.9097284904178646e-05
swing_bos,3.886616326021546e-05
swing_choch,7.748597838185484e-07
london_active,0.0
sydney_active,0.0
swing_ob,0.0
structure_aligned,0.0
tokyo_active,0.0
asian_kill_zone_active,0.0
new_york_active,0.0
london_close_kill_zone_active,0.0
new_york_kill_zone_active,0.0
dist_to_inducement,0.0
in_inducement,0.0
amd_pattern,0.0
london_open_kill_zone_active,0.0
deepest_retracement_pct,0.0
current_retracement_pct,0.0
retracement_direction,0.0
high_strength_ob,0.0
has_mitigation,0.0
mm_distribution,0.0
breaker_block,0.0
has_breaker,0.0
inducement_zone,0.0
bullish_mitigation_trend,0.0
choch_with_ob,0.0
bearish_mitigation_trend,0.0
bearish_trend_premium,0.0
bos_with_ob,0.0
bearish_fvg_trend,0.0
bullish_trend_discount,0.0
