feature,importance
fvg_direction,0.11721586638142915
is_bullish,0.07234511640462349
hour_cos,0.06436305685984406
hour_sin,0.06220864822314516
has_fvg,0.06155045903154628
dow_cos,0.05949786321648686
return_1,0.04142200066230076
dow_sin,0.031303180850585005
volatility_20,0.023889512990456968
atr,0.01825627140526309
lower_wick_ratio,0.016774234143599277
price_position_100,0.016291959958886625
institutional_candles_recent,0.015546496428086748
volatility_10,0.013805713793446245
macd_hist,0.012986238487545137
current_retracement_pct,0.012204825785887205
price_position_20,0.012116685583247633
bb_width,0.01211586211137377
volatility_50,0.012092298181678207
return_3,0.012018331372279215
upper_wick_ratio,0.011226433188690774
body_ratio,0.010579124400108185
dist_to_swing_high,0.010554468190634598
dist_to_internal_low,0.010246122239194612
stoch_k,0.009844476619913308
macd,0.009840806937366204
stoch_d,0.009606051426967762
atr_ratio,0.00960424724544453
above_sma200,0.009152829450974268
sweep_magnitude,0.009143212047890363
bos_momentum,0.009096188972769209
bb_position,0.008961066450360555
bearish_sweeps_recent,0.008812012621714242
internal_choch,0.008715801320685994
return_20,0.008225997222052518
return_5,0.008223005552504633
dist_vs_prev_high,0.008129186384168536
sma_200,0.008082667211705953
return_10,0.007895330409405914
rsi_14,0.007746513802884628
bb_lower,0.007715095900760568
return_50,0.007697706894281738
dist_to_swing_low,0.007426475457671318
macd_signal,0.007403929218976699
bb_upper,0.007258629574731184
price_position_50,0.007166594602560758
mm_accumulation,0.00707711610730935
sma_50,0.006752944183199313
bullish_sweeps_recent,0.0066312590021692895
in_equilibrium,0.006556149450106586
dist_to_internal_high,0.00647874214124727
choch_count,0.006277624816380366
in_premium,0.006161035837915678
sma_cross,0.005391289710018735
mm_phase,0.004827271137532835
internal_trend,0.004424261746046185
liquidity_sweep,0.0038469681938959584
bullish_confluence,0.0035155671933824605
bearish_confluence,0.0030713480255584987
rsi_overbought,0.0024639028689596725
deepest_retracement_pct,0.0024052485610927903
internal_bos,0.002299463939068304
rsi_oversold,0.0010602684570286513
institutional_activity,0.0010026605644557463
below_previous_low,0.0007912806436918486
in_discount,0.0006709942808019286
above_previous_high,0.0003813322455518463
has_eql,0.0003201218669169961
institutional_candle,0.00022970183315527886
swing_choch,0.00018252132630045153
swing_trend,0.00013838024453136387
swing_bos,0.00012986060153890048
premium_rejection,0.00010730901404612837
internal_ob,9.104103420835204e-05
has_breaker,8.94566503763104e-05
discount_acceptance,7.064006046056509e-05
breaker_block,5.019340985119419e-05
has_mitigation,4.4857811379627725e-05
amd_pattern,4.461640607634946e-05
in_inducement,2.97855111814638e-05
bearish_fvg_trend,2.6189908433818424e-05
sydney_active,0.0
swing_ob,0.0
structure_aligned,0.0
tokyo_active,0.0
asian_kill_zone_active,0.0
new_york_active,0.0
london_active,0.0
has_eqh,0.0
inducement_zone,0.0
london_open_kill_zone_active,0.0
new_york_kill_zone_active,0.0
london_close_kill_zone_active,0.0
retracement_direction,0.0
ob_volume_weight,0.0
ob_strength,0.0
high_strength_ob,0.0
mm_distribution,0.0
mm_manipulation,0.0
mitigation_block,0.0
dist_to_inducement,0.0
bullish_mitigation_trend,0.0
sweep_reversal_setup,0.0
bearish_mitigation_trend,0.0
bullish_trend_discount,0.0
bearish_trend_premium,0.0
bos_with_ob,0.0
choch_with_ob,0.0
bullish_fvg_trend,0.0
