feature,importance
bb_upper,0.07440662057362515
sma_200,0.06528094541327539
bb_lower,0.06408843330304134
sma_50,0.06377635543524168
current_retracement_pct,0.04425484798144871
dist_to_swing_high,0.03988575439688658
dist_to_swing_low,0.039299040292350026
sweep_magnitude,0.0343473426273349
price_position_100,0.03359557383988172
dow_sin,0.032331597331045424
volatility_50,0.02833888376549309
dow_cos,0.026024608502207454
return_50,0.025888987477520515
dist_to_internal_low,0.023597311679187064
macd_signal,0.023360694928672883
dist_vs_prev_high,0.023360272445979196
bearish_sweeps_recent,0.020407265581164683
atr_ratio,0.018697166181166406
bb_width,0.01860899117443734
atr,0.017980433943597926
price_position_50,0.016697925517074858
volatility_20,0.016675557011264455
macd,0.016207519385737407
hour_sin,0.015900960864249754
deepest_retracement_pct,0.015858495340328762
dist_to_internal_high,0.013932062556310135
volatility_10,0.01318980631896172
above_sma200,0.013116280462226739
bullish_sweeps_recent,0.012337688814078148
rsi_14,0.011619603318234441
macd_hist,0.010591373897821454
liquidity_sweep,0.010280270954670604
hour_cos,0.010261376075544894
return_20,0.00849438612017167
return_10,0.008277683769805208
price_position_20,0.007484106687082251
stoch_d,0.006529187965889081
sma_cross,0.005904033178043239
stoch_k,0.005778950777809905
has_fvg,0.005602301934307635
bb_position,0.005450840420954535
bullish_confluence,0.005023843547623706
bos_momentum,0.0043158771761123045
institutional_candles_recent,0.004167856438795584
return_5,0.00402457970697763
bearish_confluence,0.0039792528912885195
is_bullish,0.0039006749264024927
lower_wick_ratio,0.00342288057709734
return_1,0.003212564233057068
return_3,0.0027727642312132964
fvg_direction,0.002384628691463825
has_mitigation,0.00224382670534752
body_ratio,0.0017385024801913136
choch_count,0.001696531618987041
in_discount,0.0014574718874308657
upper_wick_ratio,0.0013529573047212173
in_premium,0.0010911872402940377
has_breaker,0.0008969792499799819
rsi_overbought,0.0007144239986477731
mitigation_block,0.0005103312303821587
mm_accumulation,0.00046851105907419683
mm_phase,0.0004181252271316617
internal_trend,0.0004087524438077477
internal_ob,0.0003291661876791545
retracement_direction,0.0003208327105508911
rsi_oversold,0.0002927358819295476
in_equilibrium,0.0002686256047089045
below_previous_low,0.0001519334106304946
breaker_block,0.00014975848155632587
discount_acceptance,0.00012830798225540253
above_previous_high,0.00012235335382515024
swing_bos,8.101524961577535e-05
internal_bos,6.454155846728856e-05
has_eql,4.692067610133352e-05
internal_choch,4.623456844024991e-05
swing_trend,4.174633032845766e-05
institutional_activity,1.7716702022624966e-05
premium_rejection,1.40501917368425e-05
new_york_active,0.0
london_active,0.0
tokyo_active,0.0
sydney_active,0.0
structure_aligned,0.0
swing_choch,0.0
swing_ob,0.0
asian_kill_zone_active,0.0
london_open_kill_zone_active,0.0
has_eqh,0.0
london_close_kill_zone_active,0.0
inducement_zone,0.0
in_inducement,0.0
new_york_kill_zone_active,0.0
amd_pattern,0.0
ob_strength,0.0
ob_volume_weight,0.0
high_strength_ob,0.0
mm_manipulation,0.0
institutional_candle,0.0
mm_distribution,0.0
dist_to_inducement,0.0
bullish_mitigation_trend,0.0
bullish_trend_discount,0.0
sweep_reversal_setup,0.0
bearish_mitigation_trend,0.0
bearish_trend_premium,0.0
bos_with_ob,0.0
choch_with_ob,0.0
bullish_fvg_trend,0.0
bearish_fvg_trend,0.0
