feature,importance
sma_200,0.051755258300852744
bb_upper,0.05076702166211145
bb_lower,0.04378014267808782
sma_50,0.042858720891839744
sweep_magnitude,0.04227845290003641
current_retracement_pct,0.036514749239719216
dow_sin,0.03389364733956182
hour_sin,0.03364143822601418
dist_to_swing_high,0.031405831448181126
dist_to_swing_low,0.031223820089473366
return_50,0.02735932574499521
price_position_100,0.026831796238909543
macd_signal,0.026496570352832798
bb_width,0.023785087771533764
fvg_direction,0.023252267644973415
dow_cos,0.023173815014078135
volatility_20,0.022832238420781293
macd,0.021504999163134773
hour_cos,0.01979335684734047
atr,0.019476452327763048
volatility_50,0.019308450960796007
rsi_14,0.01714432281930174
dist_vs_prev_high,0.016761127516787624
dist_to_internal_low,0.016736099708320136
atr_ratio,0.016639574745042657
volatility_10,0.016376972109519595
is_bullish,0.016323444613046887
dist_to_internal_high,0.016192665554861048
has_fvg,0.013757994872826364
price_position_50,0.01350996531802616
price_position_20,0.012983273958495167
bearish_sweeps_recent,0.01259117089933309
macd_hist,0.012372480670264262
stoch_k,0.012092529341565345
bb_position,0.012013984989217004
internal_ob,0.011981712445076892
stoch_d,0.011772187669646272
bullish_sweeps_recent,0.011373838171912226
return_20,0.010665854941251956
deepest_retracement_pct,0.009522189029757292
return_10,0.008143579329829304
return_5,0.006766676566748736
return_1,0.006583166888770913
return_3,0.00619411894912085
sma_cross,0.004988343018971367
upper_wick_ratio,0.004920599090767632
above_sma200,0.004766750237760222
lower_wick_ratio,0.004448370069983177
mm_accumulation,0.004295731784195155
liquidity_sweep,0.004264801198840185
mm_phase,0.0042255206550896275
body_ratio,0.003419608840241255
bullish_confluence,0.003019836710001211
bearish_confluence,0.002769210800583301
rsi_overbought,0.002722435473774093
mitigation_block,0.001969877972548395
institutional_candles_recent,0.0018307395193440097
in_premium,0.001801117563320855
bos_momentum,0.0013526786676868545
internal_trend,0.0012768910304792158
breaker_block,0.0012434709167731528
has_mitigation,0.0012057628662432345
choch_count,0.0011053881620590499
in_equilibrium,0.0007392605473641832
internal_choch,0.0006509462838543708
internal_bos,0.0006411705447337619
retracement_direction,0.00028207762151232136
has_breaker,0.0002697713423608229
discount_acceptance,0.0002635935145754608
ob_volume_weight,0.0002514090241772155
premium_rejection,0.00020688268590939414
above_previous_high,0.0001759402787366642
has_eql,0.00012168747910352106
in_discount,0.00011362661404640011
below_previous_low,8.012899460276715e-05
institutional_activity,7.121909244206718e-05
rsi_oversold,6.972708731207553e-05
swing_ob,3.0499388692584552e-06
asian_kill_zone_active,0.0
london_active,0.0
tokyo_active,0.0
sydney_active,0.0
swing_bos,0.0
structure_aligned,0.0
swing_trend,0.0
swing_choch,0.0
new_york_active,0.0
has_eqh,0.0
london_close_kill_zone_active,0.0
inducement_zone,0.0
london_open_kill_zone_active,0.0
new_york_kill_zone_active,0.0
amd_pattern,0.0
ob_strength,0.0
high_strength_ob,0.0
institutional_candle,0.0
mm_manipulation,0.0
mm_distribution,0.0
in_inducement,0.0
dist_to_inducement,0.0
bullish_mitigation_trend,0.0
bullish_trend_discount,0.0
sweep_reversal_setup,0.0
bearish_mitigation_trend,0.0
bearish_trend_premium,0.0
bos_with_ob,0.0
choch_with_ob,0.0
bullish_fvg_trend,0.0
bearish_fvg_trend,0.0
