feature,importance
sma_200,0.08587883819735019
sma_50,0.07937851250637357
bb_upper,0.06626177517527494
bb_lower,0.052087120785968784
price_position_100,0.04310832454069395
dist_to_swing_high,0.042905108404496614
dow_sin,0.04070573819778201
sweep_magnitude,0.03999484506142335
dist_to_swing_low,0.036077933576942146
volatility_50,0.03172321707345875
return_50,0.026482840799799415
bullish_sweeps_recent,0.02297544719680852
volatility_20,0.020388158002265244
dist_vs_prev_high,0.019437163662772403
bearish_sweeps_recent,0.018765475387961642
price_position_50,0.018470816801167383
dist_to_internal_high,0.017613752230359138
macd_signal,0.017542953344135512
atr_ratio,0.017281902474647125
dist_to_internal_low,0.01636192984193561
hour_sin,0.015993420694771526
volatility_10,0.01567449260453946
dow_cos,0.015571689140087363
bb_width,0.015354162505709715
macd,0.014326082827496256
hour_cos,0.014277904138632017
atr,0.012520611576431355
macd_hist,0.01162349436537352
rsi_14,0.010611597980593272
return_20,0.01046954636933398
fvg_direction,0.010336659765843694
institutional_candles_recent,0.010038993250302037
is_bullish,0.009379652771595522
liquidity_sweep,0.009130066230678994
price_position_20,0.007774207206563176
bb_position,0.007544141573960139
above_sma200,0.0073116452068674245
bearish_confluence,0.006804678379616588
sma_cross,0.006433694559157496
stoch_d,0.006201083276831333
bullish_confluence,0.006104821645307434
has_fvg,0.0057807333260143715
return_10,0.005360922393150668
stoch_k,0.005232166994010893
return_5,0.005179564182434987
retracement_direction,0.004216780851434012
return_3,0.0038828844913227855
return_1,0.0037862380546784206
bos_momentum,0.0036322974500887367
body_ratio,0.003210027848832373
lower_wick_ratio,0.00317636953877075
upper_wick_ratio,0.002949597454669233
in_equilibrium,0.0024269543233134926
in_premium,0.0021753590548002195
breaker_block,0.0016862636157360849
mitigation_block,0.0015798030108211641
in_discount,0.0014846271469498673
has_mitigation,0.0013755975328187291
rsi_overbought,0.0011196944195058318
mm_accumulation,0.0009301425188215992
choch_count,0.0007546166023575761
has_breaker,0.0006727329436491075
internal_choch,0.0005525546600810192
below_previous_low,0.0004322141086196159
mm_phase,0.0004129366533144293
internal_bos,0.0003561458643034006
rsi_oversold,0.00027811993529600483
discount_acceptance,0.00015326882999268458
internal_trend,0.00011919378331819728
above_previous_high,0.00011026190521027514
institutional_activity,4.2567546962953276e-05
premium_rejection,4.863627411884154e-06
structure_aligned,0.0
swing_choch,0.0
swing_trend,0.0
internal_ob,0.0
swing_ob,0.0
asian_kill_zone_active,0.0
new_york_active,0.0
london_active,0.0
tokyo_active,0.0
sydney_active,0.0
swing_bos,0.0
deepest_retracement_pct,0.0
mm_manipulation,0.0
has_eql,0.0
has_eqh,0.0
new_york_kill_zone_active,0.0
london_close_kill_zone_active,0.0
inducement_zone,0.0
in_inducement,0.0
dist_to_inducement,0.0
amd_pattern,0.0
london_open_kill_zone_active,0.0
current_retracement_pct,0.0
ob_strength,0.0
high_strength_ob,0.0
ob_volume_weight,0.0
mm_distribution,0.0
institutional_candle,0.0
bullish_mitigation_trend,0.0
bullish_trend_discount,0.0
sweep_reversal_setup,0.0
bearish_mitigation_trend,0.0
bearish_trend_premium,0.0
bos_with_ob,0.0
choch_with_ob,0.0
bullish_fvg_trend,0.0
bearish_fvg_trend,0.0
