feature,importance
sma_200,0.0958094467811112
bb_lower,0.07452296232545152
sma_50,0.07270823327720678
bb_upper,0.06828746881543933
volatility_50,0.05128648498959562
sweep_magnitude,0.04398125455725696
dist_to_swing_low,0.04222268625710262
dist_to_swing_high,0.04148985386474425
dow_sin,0.03212535689703809
macd_signal,0.031129430371193943
dow_cos,0.029009867642312746
return_50,0.0268336785621457
bearish_sweeps_recent,0.023805038842484902
macd,0.021181208953288976
volatility_20,0.020656727066833306
price_position_100,0.02052798906902543
atr,0.019918997208864232
dist_to_internal_high,0.017864632307192173
dist_vs_prev_high,0.015846919902267966
hour_sin,0.015759165437943267
sma_cross,0.015515999666204398
bullish_sweeps_recent,0.015028818546722436
bb_width,0.014655616059935435
hour_cos,0.014031958673305178
atr_ratio,0.013279036132998167
dist_to_internal_low,0.013131699866154012
liquidity_sweep,0.011218830261013146
price_position_50,0.010523493607165741
bearish_confluence,0.010134806059608538
rsi_14,0.01011248050098136
return_20,0.01008130114545438
volatility_10,0.008653073814962917
price_position_20,0.007554280393407984
above_sma200,0.007101408704806061
macd_hist,0.007002357306075068
upper_wick_ratio,0.00548579320475733
lower_wick_ratio,0.004952915615949221
stoch_d,0.004935338275219869
has_fvg,0.004753855318081654
institutional_candles_recent,0.004512624597028981
is_bullish,0.004363907483410052
bullish_confluence,0.004319466267689137
bb_position,0.003944436887597501
return_10,0.0034563984183704393
stoch_k,0.003350366725322108
rsi_overbought,0.002436012293801644
return_5,0.002122152294242645
in_premium,0.0019276941282357408
fvg_direction,0.0019174027689657397
choch_count,0.0018073708150062112
in_discount,0.0017521432480333379
return_3,0.0016405678871750872
in_equilibrium,0.001313611362000835
return_1,0.0011190560103542906
bos_momentum,0.000959990941897701
body_ratio,0.0009378788127638008
below_previous_low,0.0007001223409651684
internal_ob,0.0006692053044085358
has_mitigation,0.0006598428565769135
rsi_oversold,0.0005954318467989129
breaker_block,0.0004218951001962905
has_breaker,0.00037329749054129164
internal_choch,0.0003154859740301659
discount_acceptance,0.00029773267024494845
above_previous_high,0.00020142597772763388
internal_trend,0.00017976370616010402
mitigation_block,0.00014307514571998187
retracement_direction,9.790229839306865e-05
mm_accumulation,8.701648846003205e-05
mm_phase,6.618041179678906e-05
bearish_fvg_trend,4.4385753638452096e-05
premium_rejection,3.9454083387044284e-05
institutional_candle,3.853882122251009e-05
has_eqh,2.8196526472153296e-05
institutional_activity,2.26769562859739e-05
internal_bos,1.682302377689674e-05
swing_trend,0.0
asian_kill_zone_active,0.0
new_york_active,0.0
london_active,0.0
tokyo_active,0.0
sydney_active,0.0
swing_bos,0.0
structure_aligned,0.0
swing_ob,0.0
swing_choch,0.0
has_eql,0.0
new_york_kill_zone_active,0.0
london_open_kill_zone_active,0.0
inducement_zone,0.0
in_inducement,0.0
dist_to_inducement,0.0
london_close_kill_zone_active,0.0
deepest_retracement_pct,0.0
current_retracement_pct,0.0
ob_strength,0.0
high_strength_ob,0.0
ob_volume_weight,0.0
mm_manipulation,0.0
mm_distribution,0.0
amd_pattern,0.0
bullish_mitigation_trend,0.0
sweep_reversal_setup,0.0
bearish_mitigation_trend,0.0
bullish_trend_discount,0.0
bearish_trend_premium,0.0
bos_with_ob,0.0
choch_with_ob,0.0
bullish_fvg_trend,0.0
