feature,importance
sma_200,0.07781345085410889
sma_50,0.06824005344543234
bb_upper,0.05618950655527333
bb_lower,0.05406384481497867
current_retracement_pct,0.048589975496389534
sweep_magnitude,0.04455126158853493
volatility_50,0.04397484933553332
dist_to_swing_low,0.03746936320258523
dist_to_swing_high,0.03729175572929112
macd_signal,0.028172842539795732
price_position_100,0.02767347416516521
dow_cos,0.02625272733787906
deepest_retracement_pct,0.02619605043952665
dow_sin,0.025594568143522855
volatility_20,0.024866510584199992
macd,0.02141057217471052
bullish_sweeps_recent,0.021187602429551994
atr,0.020770463414298355
return_50,0.02024175938011341
atr_ratio,0.019149751851221856
bb_width,0.018585724127517692
dist_to_internal_high,0.017996831876381382
dist_vs_prev_high,0.017719416154370036
price_position_50,0.017688813603303127
dist_to_internal_low,0.01503749101435252
bearish_sweeps_recent,0.015010085876318902
volatility_10,0.013580188417840726
hour_sin,0.010825847063039
return_20,0.010504207292871253
hour_cos,0.009991469328129918
liquidity_sweep,0.009979053609257809
bullish_confluence,0.009955638532035582
macd_hist,0.009538988064150693
rsi_14,0.00909592570171551
sma_cross,0.008288439446654677
stoch_d,0.005759367350397383
bb_position,0.005179341889665107
above_sma200,0.005112522704413612
return_10,0.005111387705347503
price_position_20,0.00479763256352345
return_5,0.0046573903825307275
stoch_k,0.004527144084365016
bearish_confluence,0.004119274187387281
retracement_direction,0.00408490584687701
has_fvg,0.003322143075727057
return_3,0.002961919357710842
lower_wick_ratio,0.0028134318891084426
institutional_candles_recent,0.002731975010536335
upper_wick_ratio,0.002619773637628743
in_equilibrium,0.0022536823053236747
body_ratio,0.0019439414737910626
is_bullish,0.0019399285567863668
in_discount,0.001768868750153882
bos_momentum,0.0016010775368946553
return_1,0.0014737673913916027
in_premium,0.001387987507158865
choch_count,0.0010743824022171485
fvg_direction,0.0009187041705563437
mm_accumulation,0.000755807449150713
has_breaker,0.0006393042271552927
mm_phase,0.0006221341397448937
rsi_overbought,0.0005053067381172829
mitigation_block,0.00045527704066879225
rsi_oversold,0.0003137600645074011
internal_trend,0.0003117527850846733
above_previous_high,0.00013367874526303672
has_mitigation,0.0001263036656726872
swing_trend,0.00011399799922418488
breaker_block,8.945119710280612e-05
internal_ob,7.090116744048318e-05
below_previous_low,6.841028082683293e-05
discount_acceptance,6.406713666901082e-05
premium_rejection,5.292893687406249e-05
internal_choch,1.3026716238644647e-05
institutional_activity,4.838340715223614e-06
swing_choch,0.0
structure_aligned,0.0
asian_kill_zone_active,0.0
new_york_active,0.0
london_active,0.0
tokyo_active,0.0
sydney_active,0.0
swing_bos,0.0
internal_bos,0.0
swing_ob,0.0
has_eql,0.0
has_eqh,0.0
new_york_kill_zone_active,0.0
london_close_kill_zone_active,0.0
inducement_zone,0.0
in_inducement,0.0
amd_pattern,0.0
london_open_kill_zone_active,0.0
ob_strength,0.0
ob_volume_weight,0.0
high_strength_ob,0.0
mm_manipulation,0.0
institutional_candle,0.0
mm_distribution,0.0
dist_to_inducement,0.0
bullish_mitigation_trend,0.0
bullish_trend_discount,0.0
sweep_reversal_setup,0.0
bearish_mitigation_trend,0.0
bearish_trend_premium,0.0
bos_with_ob,0.0
choch_with_ob,0.0
bullish_fvg_trend,0.0
bearish_fvg_trend,0.0
