feature,importance
current_retracement_pct,0.08596613244211974
sma_200,0.07760608586497138
sma_50,0.07118858354365508
bb_upper,0.06820564897049054
bb_lower,0.06637436275163867
sweep_magnitude,0.04283911484173527
deepest_retracement_pct,0.042698917272791695
dist_to_swing_high,0.04265746247898802
dist_to_swing_low,0.04001738291025738
volatility_50,0.0375603257729785
dow_cos,0.028464939819745565
price_position_100,0.024926267815118378
dow_sin,0.024218573356944745
volatility_20,0.01860625068557202
macd_signal,0.01819391606306918
return_50,0.01813228603222014
dist_to_internal_low,0.017590741098269306
macd,0.017347484843703253
hour_sin,0.015735098652023976
bearish_sweeps_recent,0.015163995146198291
liquidity_sweep,0.013351820415403783
atr_ratio,0.012673929909673603
bullish_sweeps_recent,0.012487392497115123
dist_to_internal_high,0.012273397487719566
bb_width,0.011518827379349904
atr,0.011371879075904314
price_position_50,0.011305501190880116
dist_vs_prev_high,0.010583942539199148
volatility_10,0.010431407337282624
sma_cross,0.009308179074632527
hour_cos,0.00845138691646088
has_fvg,0.008345687508575374
rsi_14,0.007946438656019635
return_20,0.007366403170002286
macd_hist,0.007041858518411366
bullish_confluence,0.006901666926773904
lower_wick_ratio,0.006375632547466513
bb_position,0.006072154970065704
bearish_confluence,0.005359928485176749
above_sma200,0.005278283115768131
return_10,0.005238449820098368
price_position_20,0.004266754302354067
stoch_d,0.003752484700332699
stoch_k,0.0028044422976302645
return_5,0.002699463398954962
in_premium,0.002663638035570853
institutional_candles_recent,0.0024799660798336103
upper_wick_ratio,0.0022825147966260796
fvg_direction,0.0018573761283964697
is_bullish,0.001677604744727072
return_3,0.0014648524577608626
choch_count,0.0013056401470536467
body_ratio,0.001161645484519983
bos_momentum,0.0010663788097011431
return_1,0.000960915095569946
in_equilibrium,0.0008874819335878599
has_breaker,0.0007482453561291802
rsi_oversold,0.0007320591072461605
rsi_overbought,0.00069093214777562
in_discount,0.0005335733817981158
mitigation_block,0.000485304618447995
has_mitigation,0.00039504715952899867
above_previous_high,0.00032365996613370305
mm_phase,0.0003062801236109742
retracement_direction,0.00023721309646488776
internal_trend,0.00020159224529623393
institutional_candle,0.00016094511677626982
below_previous_low,0.00013783106332384613
mm_accumulation,0.0001328169060981651
premium_rejection,0.00012035843925488571
institutional_activity,8.696249893631876e-05
internal_choch,7.769811093571766e-05
internal_bos,6.163466769313276e-05
discount_acceptance,5.112677900353243e-05
breaker_block,7.822898456080115e-06
structure_aligned,0.0
swing_trend,0.0
asian_kill_zone_active,0.0
new_york_active,0.0
london_active,0.0
tokyo_active,0.0
sydney_active,0.0
swing_bos,0.0
internal_ob,0.0
swing_ob,0.0
swing_choch,0.0
has_eqh,0.0
has_eql,0.0
london_close_kill_zone_active,0.0
inducement_zone,0.0
amd_pattern,0.0
new_york_kill_zone_active,0.0
london_open_kill_zone_active,0.0
ob_strength,0.0
ob_volume_weight,0.0
high_strength_ob,0.0
mm_manipulation,0.0
mm_distribution,0.0
in_inducement,0.0
dist_to_inducement,0.0
bullish_mitigation_trend,0.0
bullish_trend_discount,0.0
sweep_reversal_setup,0.0
bearish_mitigation_trend,0.0
bearish_trend_premium,0.0
bos_with_ob,0.0
choch_with_ob,0.0
bullish_fvg_trend,0.0
bearish_fvg_trend,0.0
