feature,importance
bb_upper,0.061058932130842264
sma_50,0.059798798551205665
sma_200,0.055483466090377485
bb_lower,0.05193863860599982
volatility_50,0.04348436611089395
current_retracement_pct,0.040201296367917756
sweep_magnitude,0.037862788351291865
volatility_20,0.03203590996634149
dist_to_swing_high,0.030143030125526743
dist_to_swing_low,0.028283175454975044
bb_width,0.027817603199119606
dow_sin,0.027703795014750916
price_position_100,0.0270638153102806
dow_cos,0.024689945265900032
atr,0.024435562576608654
return_50,0.021545417731764945
macd_signal,0.02097334409077448
hour_sin,0.020593006767090645
dist_to_internal_low,0.01995449170988675
macd,0.018380265678616663
dist_vs_prev_high,0.018081301908144637
dist_to_internal_high,0.01741455350322516
atr_ratio,0.017385073526957773
hour_cos,0.01662527012200934
price_position_50,0.01627397438041688
bullish_sweeps_recent,0.01511239344931532
volatility_10,0.014714750186391092
rsi_14,0.014548922698856591
macd_hist,0.014422579794008513
bearish_sweeps_recent,0.013196896477244155
return_20,0.012765524091288007
deepest_retracement_pct,0.011981437026281893
return_10,0.010604763665548212
stoch_d,0.009023026428354616
price_position_20,0.00853918808733311
liquidity_sweep,0.00850483906144774
stoch_k,0.00831394187683165
bullish_confluence,0.008227272201740488
is_bullish,0.008111298230706507
bb_position,0.00809496174574629
has_fvg,0.007971237304133471
fvg_direction,0.007297794924678064
return_5,0.006989538972613586
institutional_candles_recent,0.006641143231397592
return_3,0.005473696391221794
upper_wick_ratio,0.0049877296884330595
sma_cross,0.004874853916843734
lower_wick_ratio,0.004014830141223596
bearish_confluence,0.0037529622389801663
above_sma200,0.0034336304876623727
return_1,0.0028055249711792635
bos_momentum,0.0022838725253546944
body_ratio,0.0022572147058940893
in_equilibrium,0.0018528350078661447
choch_count,0.0013079580810368056
mm_phase,0.0008406342010356539
mitigation_block,0.0007760827973616257
in_premium,0.0007491560473686447
internal_ob,0.0007096167241758133
rsi_overbought,0.0006519693681532782
in_discount,0.0006480564044733561
breaker_block,0.0005561608475314126
mm_accumulation,0.0005203695480025534
internal_choch,0.0005095593164206604
has_breaker,0.0005028993081435445
has_mitigation,0.00041991582956678715
internal_trend,0.00039623617953121076
rsi_oversold,0.00035082564926997045
retracement_direction,0.0003363478058333923
above_previous_high,0.0002767359738517644
below_previous_low,0.00012122933417191508
institutional_candle,0.00011922121053929297
premium_rejection,0.0001148905143102899
internal_bos,3.63289891732122e-05
institutional_activity,2.932380055400248e-05
swing_choch,0.0
swing_trend,0.0
asian_kill_zone_active,0.0
new_york_active,0.0
london_active,0.0
tokyo_active,0.0
sydney_active,0.0
swing_bos,0.0
structure_aligned,0.0
swing_ob,0.0
has_eql,0.0
has_eqh,0.0
new_york_kill_zone_active,0.0
london_close_kill_zone_active,0.0
inducement_zone,0.0
amd_pattern,0.0
dist_to_inducement,0.0
london_open_kill_zone_active,0.0
ob_strength,0.0
ob_volume_weight,0.0
high_strength_ob,0.0
mm_manipulation,0.0
mm_distribution,0.0
in_inducement,0.0
discount_acceptance,0.0
sweep_reversal_setup,0.0
bearish_trend_premium,0.0
bullish_trend_discount,0.0
bullish_mitigation_trend,0.0
bearish_mitigation_trend,0.0
bos_with_ob,0.0
choch_with_ob,0.0
bullish_fvg_trend,0.0
bearish_fvg_trend,0.0
