feature,importance
bb_upper,0.091578820862465
bb_lower,0.07286729292382697
sma_50,0.0728375265660569
sma_200,0.06771481599479733
atr,0.061146478881117725
is_bullish,0.05623083016459119
fvg_direction,0.04616328412389267
has_fvg,0.04276397535325504
volatility_20,0.026761971672744037
volatility_50,0.024428818323072633
macd_signal,0.02332492011473223
bb_width,0.022352909706252855
bullish_confluence,0.019667567515047817
upper_wick_ratio,0.019453613855431807
dow_cos,0.019273123022683036
macd_hist,0.01909349418351399
bearish_confluence,0.018130038966801952
sma_cross,0.017112696025141053
volatility_10,0.016669717228110257
liquidity_sweep,0.016044671660931015
macd,0.014841849026801641
lower_wick_ratio,0.014317276070523466
deepest_retracement_pct,0.013153772632613145
hour_sin,0.012807589551169457
bearish_sweeps_recent,0.012129005194670354
bullish_sweeps_recent,0.011908918945831926
dow_sin,0.011516736084810693
return_1,0.011338985750616967
current_retracement_pct,0.009454443973972146
internal_ob,0.009297564329987736
return_20,0.00920810375372916
sweep_magnitude,0.007993917835109238
hour_cos,0.007871771017405603
above_sma200,0.00786345280295774
return_3,0.007669406599293191
dist_to_swing_low,0.006560525562484289
dist_to_swing_high,0.006036634232306134
return_50,0.005746758263017042
return_10,0.004886361153286577
internal_trend,0.004851678070902366
institutional_candles_recent,0.004747223811146506
price_position_100,0.003967049963874276
price_position_50,0.00345063426407039
internal_choch,0.003367429592952778
rsi_14,0.003108836506808779
price_position_20,0.0026766690847422874
body_ratio,0.0025953402901097945
atr_ratio,0.0025765066468479616
dist_to_internal_low,0.0025385203458050207
dist_vs_prev_high,0.0022975181193131645
internal_bos,0.0022190017034582963
return_5,0.0021681517751134718
stoch_k,0.0018238106227376105
stoch_d,0.001691167854971565
in_premium,0.0016506012697686584
has_mitigation,0.001582311643061566
dist_to_internal_high,0.0015331353172727367
choch_count,0.0013642725155146446
bb_position,0.001317146594929933
has_breaker,0.0011371494637882644
in_discount,0.0010893337009079687
above_previous_high,0.0010074115798139145
in_equilibrium,0.0009993334294423396
bos_momentum,0.0009707605169427514
breaker_block,0.0008757425008428106
mitigation_block,0.0007755634180327139
rsi_overbought,0.0006791259032005838
rsi_oversold,0.0005489058844196287
swing_ob,0.0004678211566434428
below_previous_low,0.0002932421360832593
institutional_activity,0.000244989353613803
mm_accumulation,0.00024407339159277191
mm_phase,0.00019522029601643523
institutional_candle,0.00015517279279655147
retracement_direction,0.00015096090871776527
premium_rejection,0.00014862208434124588
swing_trend,7.908115747293531e-05
ob_strength,6.354986338533134e-05
discount_acceptance,5.181294557755315e-05
has_eql,2.1028546231603202e-05
bearish_fvg_trend,2.005184192684196e-05
swing_choch,1.3441080258094652e-05
swing_bos,9.06845186793077e-06
has_eqh,5.158057173520371e-06
mm_manipulation,4.3916986680466915e-06
ob_volume_weight,2.3419217881283935e-06
new_york_active,0.0
asian_kill_zone_active,0.0
tokyo_active,0.0
sydney_active,0.0
structure_aligned,0.0
london_active,0.0
new_york_kill_zone_active,0.0
high_strength_ob,0.0
mm_distribution,0.0
london_close_kill_zone_active,0.0
london_open_kill_zone_active,0.0
inducement_zone,0.0
in_inducement,0.0
dist_to_inducement,0.0
amd_pattern,0.0
bullish_mitigation_trend,0.0
sweep_reversal_setup,0.0
bearish_mitigation_trend,0.0
bullish_trend_discount,0.0
bearish_trend_premium,0.0
bos_with_ob,0.0
choch_with_ob,0.0
bullish_fvg_trend,0.0
